x,y,theta,qz,qw,cmd_v,cmd_om
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
-4.569606132526216e-05,0.0004241045747805927,1.5716860995846649,0.7215952154318852,0.6922893606037092,-0.0,-0.0
