delta_theta,speed_x
0.0,0.0
4.199880217657145e-05,0.0012599640652971435
0.00016753506104082305,0.005026051831224692
0.0003752333750704896,0.011257001252114688
0.0006628181580733934,0.0198845447422018
0.00102713857098597,0.0308141571295791
0.001464203043125403,0.04392609129376209
0.0019692230046733108,0.059076690140199326
0.0025366653512487536,0.07609996053746261
0.003160313065757706,0.09480939197273118
0.0038333333333333327,0.11499999999999998
0.0045483524030855305,0.13645057209256592
0.005297536376458736,0.1589260912937621
0.006072677037063847,0.1821803111119154
0.006865281781614657,0.20595845344843972
0.0076666666666666645,0.22999999999999993
0.008468051551718675,0.25404154655156025
0.009260656296269489,0.27781968888808467
0.010035796956874597,0.3010739087062379
0.010784980930247802,0.3235494279074341
0.0115,0.345
0.012173020267575626,0.36519060802726877
0.012796667982084576,0.3839000394625373
0.013364110328660021,0.4009233098598006
0.013869130290207931,0.41607390870623795
0.014306194762347365,0.42918584287042094
0.014670515175259942,0.44011545525779827
0.014958099958262845,0.44874299874788537
0.015165798272292511,0.45497394816877534
0.015291334531156763,0.4587400359347029
